Address,restaurantNumber,restaurantName,Item Name,Item Type,Item Price,Item Delivery Price,Protein
734 E 400 S,2980,400 South,Carnitas Burrito,Burrito,10.1,13.15,Carnitas
734 E 400 S,2980,400 South,Veggie Burrito,Burrito,9.45,12.3,Veggie
734 E 400 S,2980,400 South,Beef Barbacoa Burrito,Burrito,11.2,14.55,Beef Barbacoa
734 E 400 S,2980,400 South,Steak Burrito,Burrito,11.2,14.55,Steak
734 E 400 S,2980,400 South,Chicken Burrito,Burrito,9.45,12.3,Chicken
734 E 400 S,2980,400 South,Sofritas Burrito,Burrito,9.45,12.3,Sofritas
734 E 400 S,2980,400 South,Chicken al Pastor Burrito,Burrito,9.95,12.95,Chicken al Pastor
734 E 400 S,2980,400 South,Steak Taco,Tacos,11.2,14.55,Steak
734 E 400 S,2980,400 South,Chicken Taco,Tacos,9.45,12.3,Chicken
734 E 400 S,2980,400 South,Carnitas Taco,Tacos,10.1,13.15,Carnitas
734 E 400 S,2980,400 South,Veggie Taco,Tacos,9.45,12.3,Veggie
734 E 400 S,2980,400 South,Beef Barbacoa Taco,Tacos,11.2,14.55,Beef Barbacoa
734 E 400 S,2980,400 South,Sofritas Taco,Tacos,9.45,12.3,Sofritas
734 E 400 S,2980,400 South,Chicken al Pastor Taco,Tacos,3.6,4.7,Chicken al Pastor
734 E 400 S,2980,400 South,Chicken al Pastor Taco,Tacos,9.95,12.95,Chicken al Pastor
734 E 400 S,2980,400 South,Veggie Taco,Tacos,3.4,4.4,Veggie
734 E 400 S,2980,400 South,Carnitas Taco,Tacos,3.6,4.7,Carnitas
734 E 400 S,2980,400 South,Beef Barbacoa Taco,Tacos,4.05,5.25,Beef Barbacoa
734 E 400 S,2980,400 South,Chicken Taco,Tacos,3.4,4.4,Chicken
734 E 400 S,2980,400 South,Steak Taco,Tacos,4.05,5.25,Steak
734 E 400 S,2980,400 South,Sofritas Taco,Tacos,3.4,4.4,Sofritas
734 E 400 S,2980,400 South,Steak Bowl,Bowl,11.2,14.55,Steak
734 E 400 S,2980,400 South,Chicken Bowl,Bowl,9.45,12.3,Chicken
734 E 400 S,2980,400 South,Carnitas Bowl,Bowl,10.1,13.15,Carnitas
