Address,restaurantNumber,restaurantName,Meal Name,Meal Price,Meal Delivery Price
734 E 400 S,2980,400 South,Balanced Macros Bowl,12.15,15.8
734 E 400 S,2980,400 South,Most Popular Chicken al Pastor Bowl,9.95,12.95
734 E 400 S,2980,400 South,Wholesome Bowl,12.15,15.8
734 E 400 S,2980,400 South,Keto Salad Bowl,9.45,12.3
734 E 400 S,2980,400 South,High Protein Bowl,13.25,17.25
734 E 400 S,2980,400 South,Fan Favorite Chicken Bowl,11.15,14.5
734 E 400 S,2980,400 South,Fan Favorite Steak Salad,13.9,18.05
734 E 400 S,2980,400 South,Veggie Full Bowl,9.45,12.3
734 E 400 S,2980,400 South,Fan Favorite Veggie Burrito,9.45,12.3
734 E 400 S,2980,400 South,Plant Powered Bowl,12.15,15.8
734 E 400 S,2980,400 South,Go Half Veggie Bowl,9.45,12.3
10387 S State St,1104,Sandy,Balanced Macros Bowl,11.8,15.35
10387 S State St,1104,Sandy,Most Popular Chicken al Pastor Bowl,9.6,12.5
10387 S State St,1104,Sandy,Wholesome Bowl,11.8,15.35
10387 S State St,1104,Sandy,Keto Salad Bowl,9.1,11.85
10387 S State St,1104,Sandy,High Protein Bowl,12.65,16.45
10387 S State St,1104,Sandy,Fan Favorite Chicken Bowl,10.8,14.05
10387 S State St,1104,Sandy,Fan Favorite Steak Salad,13.55,17.6
10387 S State St,1104,Sandy,Veggie Full Bowl,9.1,11.85
10387 S State St,1104,Sandy,Fan Favorite Veggie Burrito,9.1,11.85
10387 S State St,1104,Sandy,Plant Powered Bowl,11.8,15.35
10387 S State St,1104,Sandy,Go Half Veggie Bowl,9.1,11.85
5141 S State St,2532,Murray,Balanced Macros Bowl,12.15,15.8
5141 S State St,2532,Murray,Most Popular Chicken al Pastor Bowl,9.95,12.95
5141 S State St,2532,Murray,Wholesome Bowl,12.15,15.8
5141 S State St,2532,Murray,Keto Salad Bowl,9.45,12.3
5141 S State St,2532,Murray,High Protein Bowl,13.25,17.25
5141 S State St,2532,Murray,Fan Favorite Chicken Bowl,11.15,14.5
5141 S State St,2532,Murray,Fan Favorite Steak Salad,13.9,18.05
5141 S State St,2532,Murray,Veggie Full Bowl,9.45,12.3
5141 S State St,2532,Murray,Fan Favorite Veggie Burrito,9.45,12.3
5141 S State St,2532,Murray,Plant Powered Bowl,12.15,15.8
5141 S State St,2532,Murray,Go Half Veggie Bowl,9.45,12.3
3561 W 11400 S,4198,South Jordan,Balanced Macros Bowl,11.75,15.3
3561 W 11400 S,4198,South Jordan,Most Popular Chicken al Pastor Bowl,9.6,12.5
3561 W 11400 S,4198,South Jordan,Wholesome Bowl,11.75,15.3
3561 W 11400 S,4198,South Jordan,Keto Salad Bowl,9.1,11.85
3561 W 11400 S,4198,South Jordan,High Protein Bowl,12.65,16.45
3561 W 11400 S,4198,South Jordan,Fan Favorite Chicken Bowl,10.8,14.05
3561 W 11400 S,4198,South Jordan,Fan Favorite Steak Salad,13.5,17.55
3561 W 11400 S,4198,South Jordan,Veggie Full Bowl,9.1,11.85
3561 W 11400 S,4198,South Jordan,Fan Favorite Veggie Burrito,9.1,11.85
3561 W 11400 S,4198,South Jordan,Plant Powered Bowl,11.75,15.3
3561 W 11400 S,4198,South Jordan,Go Half Veggie Bowl,9.1,11.85
6924 S Park Centre Dr,954,Fort Union,Balanced Macros Bowl,12.15,15.8
6924 S Park Centre Dr,954,Fort Union,Most Popular Chicken al Pastor Bowl,9.95,12.95
6924 S Park Centre Dr,954,Fort Union,Wholesome Bowl,12.15,15.8
6924 S Park Centre Dr,954,Fort Union,Keto Salad Bowl,9.45,12.3
6924 S Park Centre Dr,954,Fort Union,High Protein Bowl,13.25,17.25
6924 S Park Centre Dr,954,Fort Union,Fan Favorite Chicken Bowl,11.15,14.5
6924 S Park Centre Dr,954,Fort Union,Fan Favorite Steak Salad,13.9,18.05
6924 S Park Centre Dr,954,Fort Union,Veggie Full Bowl,9.45,12.3
6924 S Park Centre Dr,954,Fort Union,Fan Favorite Veggie Burrito,9.45,12.3
6924 S Park Centre Dr,954,Fort Union,Plant Powered Bowl,12.15,15.8
6924 S Park Centre Dr,954,Fort Union,Go Half Veggie Bowl,9.45,12.3
209 N Sullivan Rd,3733,Spokane Valley,Balanced Macros Bowl,12.0,15.6
209 N Sullivan Rd,3733,Spokane Valley,Most Popular Chicken al Pastor Bowl,9.85,12.8
209 N Sullivan Rd,3733,Spokane Valley,Wholesome Bowl,12.0,15.6
209 N Sullivan Rd,3733,Spokane Valley,Keto Salad Bowl,9.35,12.15
209 N Sullivan Rd,3733,Spokane Valley,High Protein Bowl,13.05,16.95
209 N Sullivan Rd,3733,Spokane Valley,Fan Favorite Chicken Bowl,10.95,14.25
209 N Sullivan Rd,3733,Spokane Valley,Fan Favorite Steak Salad,13.75,17.9
209 N Sullivan Rd,3733,Spokane Valley,Veggie Full Bowl,9.35,12.15
209 N Sullivan Rd,3733,Spokane Valley,Fan Favorite Veggie Burrito,9.35,12.15
209 N Sullivan Rd,3733,Spokane Valley,Plant Powered Bowl,12.0,15.6
209 N Sullivan Rd,3733,Spokane Valley,Go Half Veggie Bowl,9.35,12.15
3849 W. Campus Dr.,4230,West Jordan,Balanced Macros Bowl,12.15,15.8
3849 W. Campus Dr.,4230,West Jordan,Most Popular Chicken al Pastor Bowl,9.95,12.95
3849 W. Campus Dr.,4230,West Jordan,Wholesome Bowl,12.15,15.8
3849 W. Campus Dr.,4230,West Jordan,Keto Salad Bowl,9.45,12.3
3849 W. Campus Dr.,4230,West Jordan,High Protein Bowl,13.25,17.25
3849 W. Campus Dr.,4230,West Jordan,Fan Favorite Chicken Bowl,11.15,14.5
3849 W. Campus Dr.,4230,West Jordan,Fan Favorite Steak Salad,13.9,18.05
3849 W. Campus Dr.,4230,West Jordan,Veggie Full Bowl,9.45,12.3
3849 W. Campus Dr.,4230,West Jordan,Fan Favorite Veggie Burrito,9.45,12.3
3849 W. Campus Dr.,4230,West Jordan,Plant Powered Bowl,12.15,15.8
3849 W. Campus Dr.,4230,West Jordan,Go Half Veggie Bowl,9.45,12.3
1035 W Antelope Dr Unit 2,2536,Layton,Balanced Macros Bowl,12.0,15.6
1035 W Antelope Dr Unit 2,2536,Layton,Most Popular Chicken al Pastor Bowl,9.85,12.8
1035 W Antelope Dr Unit 2,2536,Layton,Wholesome Bowl,12.0,15.6
1035 W Antelope Dr Unit 2,2536,Layton,Keto Salad Bowl,9.35,12.15
1035 W Antelope Dr Unit 2,2536,Layton,High Protein Bowl,13.05,16.95
1035 W Antelope Dr Unit 2,2536,Layton,Fan Favorite Chicken Bowl,10.95,14.25
1035 W Antelope Dr Unit 2,2536,Layton,Fan Favorite Steak Salad,13.75,17.9
1035 W Antelope Dr Unit 2,2536,Layton,Veggie Full Bowl,9.35,12.15
1035 W Antelope Dr Unit 2,2536,Layton,Fan Favorite Veggie Burrito,9.35,12.15
1035 W Antelope Dr Unit 2,2536,Layton,Plant Powered Bowl,12.0,15.6
1035 W Antelope Dr Unit 2,2536,Layton,Go Half Veggie Bowl,9.35,12.15
715 E University Pkwy,2533,University Mall,Balanced Macros Bowl,11.8,15.35
715 E University Pkwy,2533,University Mall,Most Popular Chicken al Pastor Bowl,9.6,12.5
715 E University Pkwy,2533,University Mall,Wholesome Bowl,11.8,15.35
715 E University Pkwy,2533,University Mall,Keto Salad Bowl,9.1,11.85
715 E University Pkwy,2533,University Mall,High Protein Bowl,12.65,16.45
715 E University Pkwy,2533,University Mall,Fan Favorite Chicken Bowl,10.8,14.05
715 E University Pkwy,2533,University Mall,Fan Favorite Steak Salad,13.55,17.6
715 E University Pkwy,2533,University Mall,Veggie Full Bowl,9.1,11.85
715 E University Pkwy,2533,University Mall,Fan Favorite Veggie Burrito,9.1,11.85
715 E University Pkwy,2533,University Mall,Plant Powered Bowl,11.8,15.35
715 E University Pkwy,2533,University Mall,Go Half Veggie Bowl,9.1,11.85
231 Red Cliffs Dr,2511,St. George,Balanced Macros Bowl,12.0,15.6
231 Red Cliffs Dr,2511,St. George,Most Popular Chicken al Pastor Bowl,9.85,12.8
